x,y,z,rx,ry,rz
7.920739109397757,-6.371795735475003,51.32849092138545,2.614317761504657,-0.21333330938329917,0.0021102476880872564
7.920739109397757,-6.371795735475003,51.32849092138545,2.614317761504657,-0.21333330938329917,0.0021102476880872564
4.9690148543262795,-5.334654270242509,45.708889879990345,2.592625300981199,-0.1729420854847976,-0.09103077689938406
4.9690148543262795,-5.334654270242509,45.708889879990345,2.592625300981199,-0.1729420854847976,-0.09103077689938406
4.086154371143031,-5.225155138434443,46.25695318152971,2.614164476605553,-0.1632104917841748,-0.09705446740510827
3.253099681406395,-5.025433943248805,46.73633095506028,2.6391376277446,-0.15147924146094296,-0.10581881629149628
2.3740210389570993,-4.785414221855202,46.013563067814104,2.678593119653825,-0.13492143960183278,-0.12018596742802332
0.8446539126419175,-4.458010448725072,46.807364075639754,2.671327861780047,-0.1408427972186377,-0.10614291757614622
0.8446539126419175,-4.458010448725072,46.807364075639754,2.671327861780047,-0.1408427972186377,-0.10614291757614622
0.05977725603834255,-4.950041176677609,54.63344272843429,2.837279105357273,-0.11359671120526736,-0.15044795132518435
-0.7622598955483906,-4.045501621272711,45.62065395031382,2.732994157862634,-0.10525634158778557,-0.12834603671685502
-2.4763567257921197,-4.552468899401135,53.769543525134004,2.8966098856884344,-0.05319441542317101,-0.24077646947101178
-3.1095198435545623,-4.524604995450136,53.43233993716611,2.9000720683697523,-0.034490488840692106,-0.2663361847478887
-3.6809979141546063,-4.503344831655959,53.261792455119476,2.9177284226397324,-0.004505513129385359,-0.3053915898528985
-4.199836617542873,-4.482133359730036,53.075903286550925,2.9324258370057597,0.012322409656293035,-0.33442573372913853
-4.620960409185147,-4.471554532878178,52.808024239363625,2.916536184522834,0.008420316316235105,-0.3010750128728945
-5.061856634835247,-4.443166559068178,52.86296629013091,2.940772618685027,0.016487038287236307,-0.32216748898380154
-5.957300463391653,-4.328776363533392,52.84453802033502,2.949207505004055,0.0033551010883152653,-0.2989267190068906
